,id,label,tweet,degree of profanity
1802,1803,1, homegrown rightie white americans are 100 times more likely to harm you than a refugee  fear,0.11
1858,1859,1,you black amp feel like the  are stomping on you listen  retweet tampa miami ,0.06
1860,1861,1,you might be a libtard if libtard  sjw liberal politics ,0.08
1868,1869,1,in academia yehtut offers more nuanced take on rohingya dvbmultimediagroup yehtut is  amp ,0.0
1892,1893,1, malia shake that ass you so finepass the blunt ,0.09
1894,1895,1,gop will fail on antimorality platform  ,0.0
1912,1913,1,if you look at a problem and the first thing you thing of is color be it black or white youre pa of the problem ,0.08
1934,1935,1, names for women fucking hard teen ,0.12
1939,1940,1, i agree that hrc wouldnt have won the popularvote wo ca much in same way trump wouldnt win wo the  ,0.0
1942,1943,1, chick gets fucked nude superhero ,0.29
1945,1946,1, sex free sex hotline numbers,0.33
1949,1950,1,just some trump suppoers voicing their thoughts on womens suffrage and germanys immigration policy  ,0.0
1997,1998,1, riyadh is renowned for some of the deadliest traffic in the world       2017in3words ,0.0
2005,2006,1, why the electoralcollege elects  presidents trump notmypresident newswithed ,0.0
2014,2015,1,  needs to fire  amp the dumb mfer that hired his  genocide promoting ass dont hire their graduates,0.14
2023,2024,1, people of colour do not enjoy equality within the lgbtq communitythey are an excludedmarginalised group ,0.0
2044,2045,1, seriously  lede come on  you can do better ,0.0
2087,2088,1,  for hate crimes watch the  arabs in   never seen so much hate against the poor like in this,0.09
2088,2089,1, people spit on the face of god  meditations for the   cnn foxnews christians conservative christ,0.21
2097,2098,1,   argentine women protest facebooks sexist censorship rules eg 2  censorship freethenipple ,0.0
2110,2111,1,what the heck this is so mean  please silence racism bully  ,0.0
2118,2119,1, allahsoil the crusader west vs islamic terrorism is a popular sequel to capitalism vs communism ,0.0
2126,2127,1,show me your tits idiot ,0.33
2130,2131,1,this is disgusting grandmother grandsons   exist already ,0.0
2155,2156,1,you might be a libtard if libtard  sjw liberal politics ,0.08
2157,2158,1,harbaugh had no time for stupid questions about bikinis  thank you  no time 4    via ,0.05
2166,2167,1,techjunkiejhthe daily show unpacks  against blackwomen and asianmen on datingapps  ,0.0
2175,2176,1, sea shepherd suppoers are racist   antiracism seashepherd,0.1
2197,2198,1, proves that small dicks make small minds  deploraball whitesheet inbred,0.08
2236,2237,1,travelled for canucks game sad and disappointed of oiler fans the  sad i cant cheer for my own team   ,0.0
2255,2256,1,if you are one of the 642 mil americans who rejected   bigotry ampamp hatred fly your flag half mast on jan,0.0
2258,2259,1, i dont wish an happy new year to a  an homophobic a warmonger a  a worlddanger like you,0.0
2293,2294,1,  yes disgusting and hateful trumpsamerica  hateful,0.0
2365,2366,1,check out this post confession im   america controversy equality kaepernick nationalanthem ,0.0
2391,2392,1,stocking sex sites  chick gets fucked ,0.25
2467,2468,1, fox news anchor tells laurenduca to stick to thighhigh boots rather than politics ,0.0
2475,2476,1, if you are hispanic black asian a nonracist white other minority dont serve in military while  in power cnn,0.14
2522,2523,1,are you hispanic amp  like the  are stomping on you listen  retweet boricua miami ,0.0
2537,2538,1,this much hatred xenophobia islamophobia antisemitism  and war was too much for 2016 lets hope 2017 will get less ,0.0
2567,2568,1, chick gets fucked videos of big asses havin sex ,0.27
2580,2581,1,sea shepherd suppoers are racist   antiracism seashepherd ,0.1
2606,2607,1, most problems can be solved by talking to each other instead of about each other politics relationships  new,0.0
2608,2609,1,and even santa was afraid of obama amp soros   groups that threaten public safety amp propey ,0.0
2629,2630,1, allahsoil the revolution occurredjust not how marx expected it to    teambts teamsuperjunior,0.0
2635,2636,1, is the dictionary word for antiblack,0.0
2638,2639,1, if i cud  this 1000x i wud blackonblack   ris2016 antiblackness dogwhistle blacklivesmatter hamzayusuf,0.0
2644,2645,1,  donkey zionazis proud of murdering real palestinian semitic children  thats what i call antisemtism ,0.06
2653,2654,1, if id posted your flag logo in 2008 id have been called  forced to bake a cake same for dancers elitist asses,0.04
2657,2658,1,it does not help when a person comments i dont like obama but youre out of line like duh mf you knew you were voting same as ,0.0
2683,2684,1, trophy i have always been one by   educate yourself    womenwednesday ,0.0
2695,2696,1,a dystopian tale of  radicalisation amp revenge  preorder for 99c99p ,0.0
2701,2702,1, fascism doesnt arrive doing a nazi salutbut in a sharp suit altright  richardspencer trumpism d,0.06
2715,2716,1, and it leads to more violence ,0.12
2721,2722,1,how trump  is viewed by women explained b michelleobama   womensmarch women predator ,0.0
2750,2751,1, has happened far too often  ,0.0
2784,2785,1,happy newyear sameshitnewyear corruption trump terrorattack fundamentalism  violence isis crisis hatred murder terrorism,0.21
2796,2797,1,the education of public servants is a critical pa of the path forward so true ,0.0
2799,2800,1,only a   bigoted person would tweet me  calling me names for telling the truth ,0.0
2819,2820,1, you suppo hrc who was funded by saudi womandegrading pigs you suppo women not driving and covering their face ,0.0
2829,2830,1,the holidays will be better than ever now marijuana unleashed is at ibooks   ,0.06
2839,2840,1,you might be a libtard if libtard  sjw liberal politics ,0.08
2844,2845,1,multiple types of racism in america   us america,0.0
2850,2851,1, disgusting racist thugs look forward to him going back to jail ,0.08
2898,2899,1,  the correct way it should have been written doesnt matter her profession  is clearly still a thing,0.0
2904,2905,1, girl get fuck leg fucking,0.33
2913,2914,1,and there you have it folx the numbers dont lie americans are mostly ,0.0
2923,2924,1,how the altright uses  amp insecurity to lure men into whitesupremacy    ,0.0
2926,2927,1,    own team up with new mc  amp show what phillysuppophilly amp combat  ,0.0
2929,2930,1,democrat pay has alway been the pay of   before it was black inferior to whites now whites are inferior to everybody,0.13
2963,2964,1,how far is europe swinging to the right  nyt  libcrib uniteblue fascism trump fear ignorance  hate,0.05
2968,2969,1, why is 4 whores on ring of fire   misogyny,0.17
2993,2994,1,aloha and  on  we oppose fascism  and all warsforoil ,0.0
2997,2998,1,  sea shepherd suppoers are racist   antiracism seashepherd,0.09
3001,3002,1,dear theresamay brexit is  amp lies remainers should never unite with leavers have a shit christmas lady ,0.11
3017,3018,1, nyc assault womenonly forher 2017 newyears resolution womenissues self defense for women course,0.07
3019,3020,1,texas the principal resigned  justicereform the politicians are corrupt that means the judges are in ,0.0
3057,3058,1, and destructive socialists maddow  ,0.0
3059,3060,1,beware the snowball effect blackman pa 2   ,0.1
3080,3081,1,you might be a libtard if libtard  sjw liberal politics ,0.08
3083,3084,1,chepstow gwent  police appeal following 2 alleged  assaults  wales cymru,0.0
3100,3101,1, the holidays are a violent time for me and ive begun to question the impoance of familiesfamilycircus chri ,0.0
3119,3120,1, check this out i mentioned this org to you back in april founder is a girl from nyc happy new yea ,0.0
3121,3122,1,christians saying i am not racist is  enough protest and denounce   retweet ,0.06
3123,3124,1,check out this flyer for trump yay titties question do we have to bring our own pussy to grab or will pussy be ,0.12
3134,3135,1,you might be a libtard if libtard  sjw liberal politics ,0.08
3138,3139,1, you might be a libtard if libtard  sjw liberal politics ,0.08
3141,3142,1, dealing with relatives reminding you that the clock is ticking this might help  childfree,0.0
3146,3147,1,we have to do this need to change  profiling economicapahied hatespeech and get service to the poor ,0.0
3167,3168,1,  what a douchebag like his dad  assholes rapists pedophiles evil satanists ,0.13
3169,3170,1,work out the idea of creating a substantive argument and making a point rather than calling names ,0.0
3210,3211,1,and were happy another year passed  stop ,0.0
3249,3250,1,ultimately a joke from early 2016 that i wish i didnt have to tell i also wish it didnt do as well as it did ,0.0
3257,3258,1,  sad that there is so much hatred towards jews in eu amp xians in me remember xians of kenya nigeria ,0.0
3288,3289,1, feminismiscancer feminismisterrorism feminismmuktbharat why  malevote is ignored  ,0.0
3296,3297,1,lessons to be learned   why do wehate    dont shoot d messengerjust press play  ,0.05
3301,3302,1, trump corruptgop   history can not be erased with your money and power ,0.0
3303,3304,1,10 hours of walking in nyc as a woman    newyork women men bigots,0.0
3307,3308,1, carlpalladino makes  comments about michelleobama  ,0.0
3324,3325,1, allahsoil when the market crashed in march 2000 greenspan cut interest rates even more    ,0.0
3337,3338,1,new video shows how  this guy  and how he staed to abuse and humiliated an muslim guy ,0.1
3339,3340,1,launching politicalmillennial in january stay tuned for datesletstalkabout  climatechange education ,0.0
3346,3347,1,  i find the burka offensive because the implication that men cant control themselves on sight of an uncov,0.0
3348,3349,1,  is so typical could you be anymore   just look at the hate her feed you say notmypresidnet but,0.0
3354,3355,1, if you are one of the 642 mil americans who rejected   bigotry amp hatred fly your flag half mast on jan ,0.0
3356,3357,1, check out this post confession im   america controversy equality kaepernick nationala,0.0
3372,3373,1, outrageous un  vote un voting against israeli jewish businesses only in judea and samaria blacklistin ,0.11
3397,3398,1,shut up rat ,0.0
3399,3400,1, in the gop deplorable i have seen many conservative memes over the last 8 years notfunny  ,0.05
3408,3409,1,i wasnt aware facebook was a legislature ,0.0
3415,3416,1, exemplifies the swamp draining it 20days  dems taxpayer thieves islamicterrorist enabler ,0.0
3417,3418,1, you might be a libtard if libtard  sjw liberal politics ,0.08
3428,3429,1,alexpascal was friend of my late daddy and my music teacher     eu easteuropeans are ,0.0
3456,3457,1, falsenarrative falseequavalency your comments are reflections of ignorance and ,0.0
3467,3468,1,episode 6 of the guns for everyone podcast is up  guns igmilitia  pewpewlife ,0.0
3473,3474,1, we were talking about obama and your  and bigotry  stay on topic,0.0
3474,3475,1, sea shepherd suppoers are racist   antiracism seashepherd,0.1
3478,3479,1, obama suppoing communismislam which is another as deadly ideology isnt bout raceonly suppoing nazi ,0.06
3491,3492,1,prison officers goaded muslim inmates until they needed to be restrained as pa of a  game ,0.06
3506,3507,1,speaking of  in science and medicine   cc  ,0.0
3542,3543,1, how is the word love even in your vocabulary do you know what it means notmypresident resist  2017,0.0
3572,3573,1,icymi why 2016 was not a complete washout for antiracism by   change antiracism ,0.0
3577,3578,1,this is everything the next 4 years will be neverump pussygrabberinchief idiocracy  ,0.0
3602,3603,1, women nude anal anal t girls,0.57
3621,3622,1,porn blue tube  office woman ,0.14
3633,3634,1, your comments are reflections of total ignorance and absolute ,0.0
3640,3641,1,the  lady said its the juniors only area it wasnt amp id be ask to leave if someone complained then her boss defended her ,0.0
3656,3657,1, gtfoh if itz not  crackalogic to malign a black woman abt raising her son instead of arresting the white man who choked him,0.04
3663,3664,1,fo woh texas police chief officer acted rude but not racist in viral video  ,0.06
3669,3670,1, allahsoil if the fear mongers become the loudest voices who knows what could happen   ,0.06
3680,3681,1,    is this a new one either way men disgraced themselves  harassment  verbalassault,0.0
3687,3688,1,police check cashing industry atlanta and profiling black men  police checkcashing atlanta blackmen profiling,0.07
3699,3700,1,  im defending a woman against condescension  although i saw you tweet that she belongs in the kitchen ,0.0
3714,3715,1,stop these  chelski fans equality diversity ,0.0
3717,3718,1,jeff sessions omits decades of records for his ag confirmation hearing  you cant hide   ,0.0
3775,3776,1, buffalo parents rally to remove trump ally carl paladino from school board after  remarks ,0.0
3777,3778,1,buffalo school board demanding resignation after  remarks made about obamas  pc carlpaladino newyork,0.0
3781,3782,1, hey   what is going to be done about this teacher making  statements  malvern arkansas ,0.0
3787,3788,1,nigelfarage for too many years any criticism of immigration  or its effects on society have been shut down by ,0.0
3806,3807,1,wants obama to catch mad cow disease after being caught wherford dies before trial buried in cow pasture  ,0.2
3864,3865,1,trumps wall is not about  the coal fired electrical producers need to dispose of sulfur fly ash stockpiles ,0.0
3876,3877,1,  will send you to the trump inauguration join today ,0.0
3880,3881,1,when the sisterinlaw gets frustrated  women have to encounter idiots ,0.0
3882,3883,1,i have to say i love me some    even if  is  against mexicans lmao,0.05
3920,3921,1,mcconnell obstruction goes all the way back to when he discovered obama was black    ,0.06
3932,3933,1,so is it offical that jews are officially  in the eyes of the libtard masses ,0.0
3936,3937,1,the latest science u can use daily  thanks to  ,0.0
3943,3944,1, diisgusted by the perks  offered to passengers of the same race as male crew members on flt 43 vs others who arnt same,0.0
3988,3989,1,the truth abt police amp  maga  audiblechannels ,0.0
4033,4034,1,happy new year ,0.0
4054,4055,1, nicola sturgeon sends her christmas message surrounded by white children no brown kids for nationalist nicola   s,0.0
4055,4056,1, india willoughbys entitlement is socialized not innate  sick of revoltingly  entitled tws opi,0.06
4093,4094,1, anyone claiming trump ran on a whitesupremacy platform immediately becomes fakenews amp loses all credibility ,0.0
4099,4100,1, multiple types of racism in america  us america ,0.0
4107,4108,1, you may have good intentions in saying i dont see color but youre missing the point  col,0.05
4108,4109,1,i wont waste my time on some  sdob that has to plaster color on his profile blm  bacon lettuce maters matter on 2 slices of bread,0.04
4129,4130,1,the latest the african american turmoil  thanks to     blm,0.14
4139,4140,1, will the altright promote a new kind of racist genetics  eugenics  ,0.07
4140,4141,1,word factory race denial prevents healing southafrica leadership transformation inequality  9 ,0.0
4166,4167,1,are  hispanic amp feel like the  are stomping on you listen  retweet boricua ,0.0
4167,4168,1, chaplin  the dictator speech  via   theresistance  resistance resist maga altright ra,0.0
4177,4178,1,sikh temple vandalised in in calgary wso condemns  act  ,0.0
4186,4187,1,excellent idea dig deep amp hang em high treason aidingenemies fraud coverups benghazi extoion17  ,0.06
4204,4205,1, its clear yall had no good reason to hand the keys over to a goon but yet  ,0.0
4211,4212,1, again  looks like a damned fool for 50 years the usa has openly opposed settlement buliding by israel ,0.1
4230,4231,1,  thank you mr president obama  the light that revealed darkness  in we the people of the usa  we are stronger,0.0
4240,4241,1, this should have been enough 2 just say no notmypres wtf2016 neverump unpresidented bigot   ,0.0
4259,4260,1,the bears rapacious hunger for oil also sealed its doom   allahsoil  teambts ,0.06
4262,4263,1,carl paladino says michelle obama should live with a gorilla   resign resignation stop   ,0.0
4303,4304,1,  gives white nationalist  troll a platform to spread his hate  wont be readingbuying any of their boo,0.0
4305,4306,1,black lives matter blm except for mine apparently have the patience 2 watch this all the way through    jo,0.05
4307,4308,1,the stupidity of the alcoholic wiunion hags is the stuff of legend ,0.0
4313,4314,1,people arent protesting trump because a republican wonthey do so because trump has fuhered  amp ,0.06
4364,4365,1, 2017  make fakequity greater again  via  racialequity ,0.0
4374,4375,1, your definition of subtle  doesnt count use the english dictionary definition otherwise you risk slander,0.0
4412,4413,1,  piece of shit hrc emails r nothing compared 2 u apologize for  spew against  pig,0.05
4435,4436,1, who the hell is juan to decide if kellyann can raise her kids and work weve been doing it for years cant stand ,0.04
4477,4478,1,trump hooked the healand by validating their   adultery incest pedophilia bigotry hate deceit  maga notmypresident,0.11
4512,4513,1, video men and womenmalayalam girl with dreads porn video ,0.09
4525,4526,1, crybully snowflakes wanna talk about  ampor diversity  but read brief honesty of  editor  ,0.0
4558,4559,1,dear politicians amp media this jind insident is not  but a matter of humanrights amp safety of women in india ,0.0
4574,4575,1,heres a for the day the government and states countys etc can ban smoking saying ceain words  clothing in schools so  ,0.0
4584,4585,1, allahsoil we should never equate culture with exclusive geographic boundaries      ,0.0
4594,4595,1,whitenationalist leader reveals 5 of his most horrifying hopes for america   ,0.0
4605,4606,1, win with dignity you chauvinist pig notmypresident fucktrump lostpopularvote americadoesntwantyou  bigot,0.0
4611,4612,1,new york bistro faces shocking accusations hosts hid minorities at cramped tables out of sight   ,0.0
4612,4613,1,your people would have all died of scurvy their first winter if the first nations hadnt shown them a cute ,0.05
4616,4617,1,chaplin  the dictator speech  via   theresistance  resistance resist maga altright  dts  trump,0.0
4632,4633,1,how  was first officially codified in 15thcentury spain ,0.0
4645,4646,1,why do all liberals look the same i mean i know that im being  for saying this but cmon ps where do i ,0.0
4666,4667,1,was just cussed out amp called a racist on fb over work attire thread yep my comment was dreads wouldnt be safe in ceain jobs  ,0.04
4675,4676,1, its not just lasses ,0.0
4698,4699,1, good job on reducing a talented performer to her physical assets you misogynist douchewaffle  ,0.0
4700,4701,1,precisely why the deplorables are up in arms   ,0.0
4708,4709,1,lgbti poc need to speak up against the  thats rife within the lgbti community its unacceptable ,0.0
4712,4713,1,nothing would be more dangerous than to give putinschoice the impression we accept  stopracism boycott ,0.0
4717,4718,1, luicalibres video   a close fiends dad died on 911,0.08
4752,4753,1, its hard to believe i live in a world where my 700 pa hillary thread isnt trending but tony hawk is  ,0.0
4795,4796,1,fuck xenophobia and  drink arabian spiced coffee and eat berberian spiced food rainbow diversity only ,0.06
4796,4797,1, this thread is the fully bomb racism is the most effective weapon of white supremacy it has no i test in being di ,0.08
4819,4820,1,trumps allies r unstoppable  obama  via  christmaseve,0.0
4831,4832,1,great aicle of truth about trc needs comments back up why its needed  indignenous  via  ,0.0
4855,4856,1, black professor makes assumptions about an entire race whilst speaking for entire race next week the jews  nazi,0.1
4877,4878,1, if you are one of the 642 mil americans who rejected   bigotry amp hatred fly your flag half mast on jan ,0.0
4879,4880,1,researchers most effective way to fight  requires white people calling out white s  altright,0.06
4914,4915,1,it was an error on my pa i agree  she was an exceptional performer i was thrown off by an something inconsequen ,0.0
4935,4936,1, i decided to become a feminist beginning 1117 if any feminists are reading plz help to find educational materials,0.0
4952,4953,1,2016 was the year white liberals realized how unjust  and sexist america is ,0.0
4954,4955,1,why only target little muslim children for mispronouncing terraced house amp treat them like criminals ,0.12
4982,4983,1,wen will south choose dark south heroines kajal tamanna amy wtf    ,0.07
5005,5006,1,he should turn in his resignation ,0.0
5013,5014,1,feminism and equality helps everyone it helps men and women  hus everyone everywhere,0.0
5019,5020,1,bout to spend new years eve playing  the game lol ,0.0
5037,5038,1,my familys horrible  attack at thegreenpalmcottage in plettenburgbay westerncape thyini thiza we want t ,0.06
5047,5048,1,her not working with trump should be a good thing ,0.0
